shipment number,tndr_carrier_cd,tndr_first_tender_fg,tndr_carrier_type_cd
71900992,AENM,Y,P
71901574,ZRUH,Y,P
71900336,GXAJ,Y,P
71903284,MMQA,Y,N
71904244,TJIS,Y,P
71901521,ODSX,Y,P
71890733,BPNK,N,N
71900301,UAFL,Y,P
71900125,TJIS,Y,P
71901336,EZXA,Y,P
71899570,HJIK,Y,P
71900328,GXAJ,Y,P
71899810,TGIT,Y,P
71904089,FLSZ,Y,P
71900845,GMDR,Y,N
71901025,LROI,Y,P
71900314,GXAJ,Y,P
71902676,ODSX,Y,P
71900353,URXX,N,P
71904047,FLSZ,Y,P
71904211,FLSZ,Y,P
71901107,LROI,Y,P
71901188,TJIS,Y,P
71904010,JIPH,Y,P
71901973,LROI,Y,P
71901572,RLOS,Y,P
71903466,NEPH,Y,N
71904673,RLOS,Y,P
71901559,WREC,Y,P
71900295,URXX,N,P
71900912,LROI,Y,P
71900847,GMDR,Y,N
71900222,FLSZ,Y,P
71900096,UAFL,Y,P
71902468,LRQU,N,P
71901267,VXJD,Y,P
71901931,KMYV,Y,P
71901629,UAFL,Y,P
71903427,UAFL,Y,P
71902284,FLSZ,Y,P
71901936,ZPEC,Y,N
71902576,RLOS,Y,P
71900778,FCFB,Y,P
71897402,RLOS,N,P
71901045,TGIT,Y,P
71900412,YQCC,Y,P
71904248,TJIS,Y,P
71900423,YFVO,Y,P
71903071,GXAJ,Y,P
71901140,LROI,Y,P
71903671,YXXG,Y,P
71901189,LROI,Y,P
71904583,HJIK,Y,P
71900270,UQIN,Y,P
71904253,RLOS,Y,P
71896954,TJIS,Y,P
71899957,TGIT,Y,P
71900547,VOMK,Y,P
71900233,GMDR,Y,P
71900466,UAFL,Y,P
71901631,LPUO,Y,P
71900948,TJIS,N,P
71900654,AENM,Y,P
71901974,BJTI,Y,P
71904611,TJIS,Y,P
71900348,UAFL,Y,P
71901546,LLZY,Y,P
71903350,VOMK,Y,P
71900039,UVJX,Y,P
71901388,FLSZ,Y,P
71900273,LROI,N,B
71899919,WREC,N,P
71904661,KTSU,Y,P
71903696,FUYI,Y,P
71899343,TJIS,Y,P
71900091,UAFL,Y,P
71903695,QXWP,Y,P
71903582,UAFL,Y,P
71901452,TJIS,Y,P
71900302,UAFL,Y,P
71902958,HJIK,Y,P
71901077,LROI,Y,P
71900369,LLZY,Y,P
71901186,SGZW,N,P
71901683,VOMK,N,P
71903069,LROI,Y,P
71899842,SGZW,Y,P
71902734,UVJX,Y,P
71900315,GXAJ,Y,P
71900205,NBNP,Y,P
71901316,LROI,Y,P
71901830,KMYV,Y,P
71901254,LROI,Y,P
71904653,HJIK,Y,P
71900637,FLSZ,Y,P
71900861,VQVH,Y,P
71904686,QXWP,Y,P
71899734,TFTZ,N,P
71903998,OPVP,Y,P
71900450,UAFL,Y,P
71902492,LROI,Y,P
71901055,RPWL,N,P
71900945,HJIK,Y,P
71903956,SGZW,Y,P
71903095,WREC,Y,N
71904678,TJIS,Y,P
71900978,LROI,Y,P
71902301,LLZY,Y,P
71904250,TJIS,Y,P
71890732,NEPH,N,N
71902203,FLSZ,Y,P
71901149,TJIS,Y,P
71902460,HJIK,Y,P
71903693,TJIS,Y,P
71900451,UAFL,Y,P
71898513,BUXU,N,N
71901560,FLSZ,Y,P
71901484,GMDR,Y,P
71902533,LROI,Y,P
71900420,FLSZ,Y,P
71902943,UQIN,N,P
71901234,BHHL,Y,N
71900376,DNNR,Y,P
71904120,CJPF,Y,P
71901279,LROI,Y,P
71899417,TJIS,Y,P
71902391,HJIK,N,P
71902506,HJIK,N,P
71900673,HJIK,N,P
71900932,TJIS,Y,P
71901702,LROI,Y,P
71902215,UAFL,Y,P
71901165,YQCC,Y,P
71901564,FLSZ,N,P
71900123,TJIS,Y,P
71903046,HJIK,Y,P
71902705,SGZW,Y,P
71900378,LLZY,Y,P
71903443,UAFL,Y,P
71902717,HJIK,Y,P
71901109,UAFL,Y,P
71902093,RTQT,Y,P
71900129,QXWP,Y,P
71904680,TJIS,Y,P
71901386,LLZY,Y,P
71902680,FLSZ,Y,P
71902522,LROI,Y,P
71901578,TJIS,Y,P
71902598,NBNP,Y,P
71903156,ODSX,Y,P
71899668,BPNK,N,N
71900429,VXJD,Y,P
71903527,AENM,Y,N
71902694,QNRK,Y,P
71901329,LPUO,Y,P
71902205,NEPH,Y,P
71899372,TJIS,Y,P
71904041,ITLI,Y,P
71901102,UAFL,Y,P
71903494,LPUO,Y,P
71902510,NBNP,N,P
71901174,EZXA,Y,P
71902818,UVJX,Y,P
71900084,UAFL,Y,P
71900406,NBNP,Y,P
71903140,UAFL,Y,P
71902124,URXX,N,P
71897423,SSAL,Y,P
71902896,ODSX,Y,P
71900439,CHRE,Y,P
71900232,QHLK,N,B
71901075,ODSX,Y,P
71901387,NEPH,Y,P
71901511,HJIK,Y,P
71901078,TJIS,Y,P
71892048,BPNK,N,N
71902338,LROI,Y,P
71900745,GMDR,Y,P
71900278,TJIS,Y,P
71900940,BJTI,Y,P
71902791,AENM,Y,P
71904251,TJIS,Y,P
71904681,TJIS,Y,P
71900422,URXX,Y,P
71900767,TFTZ,Y,P
71900727,RNZD,N,P
71900623,LROI,Y,P
71900362,DNNR,Y,P
71900470,UAFL,Y,P
71904220,FLSZ,Y,P
71902681,ZPEC,N,B
71903528,AENM,Y,N
71901819,KMYV,Y,P
71901090,ODSX,Y,P
71900836,QXWP,Y,P
71899870,URXX,Y,P
71899620,TGIT,Y,P
71902439,LROI,Y,P
71899736,TFTZ,N,P
71902657,SGZW,Y,P
71902417,HJIK,Y,P
71902556,LROI,Y,P
71903973,TJIS,Y,P
71902424,LROI,Y,P
71904233,TJIS,Y,P
71903229,SGZW,Y,P
71902465,HJIK,Y,P
71900942,UAFL,Y,P
71901630,YFVO,N,B
71902623,NBNP,Y,P
71901164,NEPH,N,P
71901417,TJIS,Y,P
71902356,LROI,Y,P
71901068,QXWP,N,P
71900081,UAFL,Y,P
71898552,GMDR,N,N
71900189,RTQT,Y,P
71902998,ODSX,Y,P
71901123,UAFL,Y,P
71902920,LROI,Y,P
71902750,SGZW,Y,P
71900124,TJIS,Y,P
71902870,EZXA,Y,P
71902596,FLSZ,Y,P
71899937,TFTZ,Y,P
71899562,HJIK,N,P
71901160,FLSZ,Y,P
71901845,ODSX,Y,P
71900042,GMDR,Y,P
71900540,JMAI,N,P
71902581,UVJX,Y,P
71903425,NBNP,Y,P
71903027,LPUO,Y,P
71900043,YFVO,N,B
71902795,AENM,Y,P
71902849,CHRE,Y,P
71900694,AENM,Y,P
71901103,UAFL,Y,P
71900046,VQVH,N,B
71903198,LROI,Y,P
71900261,LROI,Y,P
71903223,LROI,Y,P
71901286,UQIN,Y,P
71900398,RLOS,Y,P
71903791,QXWP,Y,P
71898674,LROI,Y,P
71900897,ODSX,Y,P
71898665,NEPH,N,P
71899451,TJIS,Y,P
71901034,TGIT,Y,P
71899378,TJIS,Y,P
71890873,NEPH,N,N
71899901,TGIT,Y,P
71899382,TJIS,Y,P
71901227,FLSZ,Y,P
71900702,RNZD,Y,P
71901151,TJIS,Y,P
71899954,TGIT,Y,P
71898704,UAFL,Y,P
71901569,OBEX,Y,P
71900449,UAFL,Y,P
71902973,HJIK,Y,P
71902783,KIPZ,Y,P
71901535,VXJD,Y,P
71903642,LROI,Y,P
71904613,TJIS,Y,P
71901833,KMYV,Y,P
71902168,ODSX,Y,P
71904053,UVJX,Y,P
71902502,HJIK,Y,P
71902459,HJIK,Y,P
71902091,RTQT,Y,P
71904597,ITLI,Y,P
71901064,OBEX,N,P
71902966,VHJQ,Y,P
71900130,LLZY,Y,P
71892174,BPNK,N,N
71902788,BPNK,Y,P
71900928,TJIS,Y,P
71903249,TJIS,Y,P
71904590,UVJX,N,P
71900160,RTQT,Y,P
71901563,FLSZ,Y,P
71898675,LROI,Y,P
71900078,UAFL,Y,P
71901465,HJIK,Y,P
71903974,TJIS,Y,P
71903378,YQCC,Y,P
71903970,JIPH,Y,P
71901330,AENM,Y,N
71902950,YFVO,N,P
71901235,BHHL,Y,N
71902845,LPUO,Y,P
71902096,UAFL,Y,P
71899567,ZPEC,Y,P
71892038,NEPH,N,N
71900434,LROI,Y,P
71902873,GMDR,N,P
71903078,URXX,N,P
71902169,URXX,N,P
71902824,NEPH,Y,P
71903151,FLSZ,Y,P
71902491,ODSX,Y,P
71902747,QXWP,Y,N
71903359,VHJQ,Y,P
71903193,GMDR,Y,P
71901223,KIPZ,Y,P
71902144,ODSX,Y,P
71901873,KMYV,Y,P
71901488,SGZW,Y,P
71903539,NBNP,Y,P
71899819,TFTZ,N,P
71900453,UAFL,Y,P
71899920,YQCC,Y,P
71900171,QXWP,Y,P
71902361,LROI,Y,P
71900496,LLZY,Y,P
71901703,LROI,Y,P
71899708,NEPH,Y,P
71900759,GMDR,Y,P
71904614,TJIS,Y,P
71900751,FLSZ,Y,P
71902404,FLSZ,Y,P
71904242,TJIS,Y,P
71902231,LROI,Y,P
71899374,TJIS,Y,P
71899453,TJIS,Y,P
71899827,WREC,N,P
71902677,YQCC,Y,P
71901668,NEPH,Y,P
71903011,BPNK,Y,N
71902994,FWUK,Y,N
71900460,UAFL,Y,P
71901434,NEPH,Y,P
71902238,LROI,Y,P
71900334,GXAJ,Y,P
71900638,EZXA,Y,P
71898319,FLSZ,Y,P
71902711,SGZW,Y,P
71901397,GXAJ,Y,P
71901232,LROI,Y,P
71902636,LRQU,Y,P
71901623,YQCC,Y,P
71902760,HJIK,Y,P
71901241,LROI,Y,P
71904086,GMDR,Y,P
71904245,TJIS,Y,P
71900083,UAFL,Y,P
71902148,HJIK,Y,P
71902737,ODSX,Y,P
71902591,UVJX,Y,P
71903243,LROI,Y,P
71902577,UVJX,Y,P
71902090,BPNK,N,B
71900393,HJIK,Y,P
71900629,ZPEC,N,B
71900675,YQCC,Y,P
71901348,OBEX,Y,P
71900304,UAFL,Y,P
71902482,GMDR,Y,N
71903620,BUXU,Y,N
71900935,FCFB,Y,P
71898524,GMDR,N,N
71902394,HJIK,N,P
71903632,URXX,Y,P
71899565,FLSZ,Y,P
71902553,LROI,Y,P
71902797,EZXA,Y,P
71900669,LPUO,Y,P
71902860,RTQT,Y,N
71902769,BPNK,Y,P
71897419,SSAL,Y,P
71902912,EZXA,Y,P
71900116,TJIS,Y,P
71901237,BHHL,Y,N
71903806,QXWP,Y,P
71901445,FWUK,Y,N
71900690,AENM,Y,P
71903428,UAFL,Y,P
71901142,GMDR,N,P
71903752,LROI,Y,P
71900937,GMDR,Y,P
71901333,ROLF,N,B
71904067,EZXA,Y,P
71899344,TJIS,Y,P
71901199,SGZW,N,B
71898539,GMDR,N,N
71901910,NUXY,Y,N
71903300,EZXA,Y,P
71903799,NBNP,Y,P
71901263,LROI,Y,P
71902781,VQVH,Y,N
71899963,TFTZ,Y,P
71901953,TJIS,Y,P
71900254,GMDR,Y,P
71900899,ZRUH,Y,P
71902382,LLZY,Y,P
71902746,LLZY,Y,P
71901242,QXWP,Y,P
71901925,KMYV,Y,P
71902503,HJIK,Y,P
71902028,BPNK,Y,P
71902659,SGZW,Y,P
71901101,UAFL,Y,P
71900740,NZKX,Y,P
71902291,ODSX,Y,P
71900445,QNRK,Y,P
71900208,UVJX,Y,P
71900959,RPWL,Y,P
71899418,TJIS,Y,P
71904064,EZXA,Y,P
71899452,TJIS,Y,P
71900210,UVJX,Y,P
71904240,TJIS,Y,P
71904015,TJIS,Y,P
71901463,HJIK,N,P
71904017,TJIS,Y,P
71899900,WREC,N,P
71902341,FLSZ,Y,P
71904676,QXWP,Y,P
71900357,OPVP,Y,P
71901143,LROI,Y,P
71900987,FLSZ,Y,N
71902369,FLSZ,Y,P
71900404,ZPEC,Y,P
71903716,TJIS,Y,P
71900831,TJIS,Y,P
71904210,UVJX,Y,P
71901303,UVJX,Y,P
71901909,NUXY,Y,N
71902532,LROI,Y,P
71902637,LRQU,Y,P
71898240,UAFL,Y,P
71902386,UVJX,Y,P
71881740,YQCC,N,N
71900766,RLOS,Y,P
71900566,GSQV,Y,P
71900309,UAFL,Y,P
71902792,OCZI,Y,P
71884193,BPNK,N,N
71900609,URXX,Y,P
71904208,UVJX,N,P
71902724,EZXA,Y,P
71904100,GXAJ,Y,P
71902666,LROI,Y,P
71902592,LLZY,Y,P
71902796,EZXA,Y,P
71903465,NEPH,Y,N
71902660,SGZW,Y,P
71897825,BPNK,N,N
71901132,NBNP,N,P
71902761,HEPF,Y,P
71904598,FLSZ,Y,P
71900349,NBNP,Y,P
71901052,VHJQ,Y,P
71902719,HJIK,Y,P
71900161,RTQT,Y,P
71901568,TJIS,Y,P
71901685,GMDR,Y,P
71899564,GMDR,Y,P
71902400,OCZI,Y,P
71900610,HJIK,N,P
71901497,LROI,Y,P
71903125,XKNP,Y,N
71900687,NEPH,Y,P
71901172,GMDR,Y,P
71902127,UAFL,Y,P
71902209,GMDR,Y,P
71902969,EZXA,Y,P
71904037,TJIS,Y,P
71902590,UVJX,N,P
71899619,TGIT,Y,P
71902956,EZXA,Y,P
71900032,UVJX,Y,P
71903442,HJIK,N,P
71902434,LROI,Y,P
71900465,UAFL,Y,P
71900377,FLSZ,Y,P
71903219,YXXG,Y,P
71892093,BPNK,N,N
71902494,TJIS,Y,P
71898470,QHLK,N,B
71903211,SGZW,N,P
71899846,WREC,Y,P
71902483,GMDR,Y,N
71902524,LROI,Y,P
71902551,LROI,Y,P
71901573,ZRUH,Y,P
71900094,UAFL,Y,P
71901997,HJIK,Y,P
71902381,HJIK,Y,P
71900867,ZRUH,Y,P
71904232,TJIS,Y,P
71901890,KMYV,Y,P
71903003,VXJD,Y,N
71900796,ODSX,Y,P
71900934,TJIS,Y,P
71900312,GXAJ,Y,P
71903303,VXJD,Y,N
71900589,HJIK,N,P
71900875,TJIS,Y,P
71901761,RNZD,N,P
71902098,TJIS,Y,P
71903723,FLSZ,Y,P
71900974,TJIS,Y,P
71900144,VOMK,Y,P
71902514,FCFB,Y,P
71896891,UVJX,Y,P
71901393,EZXA,Y,P
71898666,HJIK,Y,P
71904200,FLSZ,Y,P
71903467,NUXY,Y,N
71903575,ZPEC,N,B
71900174,QXWP,Y,P
71901461,HJIK,Y,P
71902046,LROI,Y,P
71900306,UAFL,Y,P
71899424,TJIS,Y,P
71902822,GMDR,Y,P
71903137,UAFL,Y,P
71902517,LROI,Y,P
71903972,TJIS,Y,P
71904073,FLSZ,Y,P
71902569,LROI,Y,P
71902646,JMAI,Y,P
71902620,SGZW,Y,P
71902580,LLZY,N,P
71901046,UAFL,Y,P
71903556,YQCC,Y,P
71902749,SGZW,Y,P
71904162,OBEX,Y,P
71901454,EZXA,Y,P
71901534,FCFB,Y,P
71904203,HJIK,Y,P
71901502,UAFL,Y,P
71900936,FCFB,Y,P
71900310,UAFL,Y,P
71900463,UAFL,Y,P
71899492,UAFL,Y,P
71900297,VXJD,Y,P
71901229,LYQQ,Y,P
71901118,ODSX,Y,P
71902813,EZXA,Y,P
71904206,FLSZ,Y,P
71903939,UAFL,Y,P
71900327,GXAJ,Y,P
71901749,VXJD,Y,P
71904578,OPVP,Y,P
71900428,ZPEC,N,B
71901460,FLSZ,Y,P
71902671,FLSZ,Y,P
71902376,FLSZ,Y,P
71902403,FLSZ,Y,P
71902191,ODSX,Y,P
71899910,DONK,Y,P
71902360,TJIS,N,P
71902480,GSQV,Y,P
71904230,TJIS,Y,P
71901648,TJIS,Y,P
71903114,NUXY,Y,N
71900927,TJIS,Y,P
71903454,ZPEC,Y,N
71902348,HJIK,Y,P
71901422,TJIS,Y,P
71902815,UVJX,Y,P
71903520,HJIK,Y,P
71902336,FLSZ,Y,P
71901671,HJIK,Y,P
71901798,ODSX,Y,P
71903274,RNZD,N,B
71901915,NUXY,Y,N
71903112,UQIN,N,P
71900471,OCZI,Y,P
71901496,LROI,Y,P
71892207,BPNK,N,N
71904213,VXJD,Y,P
71900305,UAFL,Y,P
71901247,FLSZ,N,N
71900027,NBNP,Y,P
71900350,URXX,Y,P
71899342,TJIS,Y,P
71899425,TJIS,Y,P
71904658,GMDR,Y,P
71900028,QXWP,Y,P
71902601,TJIS,Y,P
71901443,GMDR,Y,P
71902684,LROI,Y,P
71902967,GMDR,Y,P
71904652,UVJX,Y,P
71900296,URXX,N,P
71901195,RNZD,Y,P
71903227,LROI,Y,P
71902125,OPVP,Y,P
71903800,UAFL,Y,P
71901157,FUYI,Y,P
71902362,RLOS,Y,P
71900598,YFVO,Y,P
71900963,TJIS,Y,P
71899911,TGIT,N,P
71903724,YXXG,Y,P
71901224,KIPZ,Y,P
71901804,URXX,N,P
71900335,GXAJ,Y,P
71901367,RNZD,Y,P
71900874,TGIT,Y,P
71902609,MSGB,Y,P
71900758,LROI,Y,P
71899635,HJIK,N,P
71902785,VOMK,Y,P
71900188,UAFL,Y,P
71900364,PVKT,Y,P
71903984,TJIS,Y,P
71902856,EZXA,Y,P
71892079,BPNK,N,N
71904228,TJIS,Y,P
71900657,ULQZ,Y,P
71900329,GXAJ,Y,P
71900873,QXWP,Y,P
71892088,BPNK,N,N
71900092,UAFL,Y,P
71900265,LROI,Y,P
71900670,NEPH,Y,P
71900574,EZXA,Y,P
71902848,SGZW,Y,P
71901079,GMDR,N,P
71900944,HJIK,Y,P
71900214,GMDR,Y,P
71900757,LYQQ,Y,P
71901249,LROI,Y,P
71900206,GMDR,Y,P
71900964,CJPF,Y,P
71903147,QXWP,Y,P
71903892,OBEX,Y,P
71900575,QXWP,Y,P
71902479,LROI,Y,P
71900991,AENM,Y,P
71900321,GXAJ,Y,P
71904222,TJIS,Y,P
71901822,ODSX,Y,P
71902770,VHJQ,Y,P
71902927,HJIK,Y,P
71900894,UAFL,Y,P
71900190,OCZI,Y,P
71903399,ODSX,Y,P
71901498,LROI,Y,P
71901383,CJPF,Y,P
71900714,HJIK,Y,P
71900088,UAFL,Y,P
71902820,UVJX,Y,P
71899777,ZRUH,N,P
71900203,UVJX,Y,P
71901240,LPUO,Y,P
71890911,NEPH,N,N
71900709,LROI,Y,P
71900676,GMDR,N,P
71901514,BPNK,Y,P
71902436,LROI,Y,P
71904668,TJIS,Y,P
71903141,UAFL,Y,P
71902730,EZXA,Y,P
71900268,EZXA,Y,P
71902095,RTQT,Y,P
71903268,BJTI,Y,P
71902814,FCFB,Y,P
71901967,TJIS,Y,P
71900410,NBNP,N,P
71901764,UVJX,Y,P
71903492,BJTI,Y,P
71902335,GMDR,N,N
71900071,RLOS,Y,P
71901647,UVJX,Y,P
71902292,OBEX,Y,P
71902321,LROI,Y,P
71903669,GMDR,N,P
71899563,BJTI,Y,P
71899691,TJIS,N,P
71902957,EZXA,Y,P
71902853,LROI,Y,P
71901912,NUXY,Y,N
71900744,GMDR,Y,P
71900399,URXX,Y,P
71899482,ZRUH,Y,P
71900182,KTSU,N,B
71901972,RNZD,Y,P
71904058,FLSZ,Y,P
71903040,DNNR,Y,P
71901736,YQCC,Y,N
71901416,TJIS,Y,P
71903560,GXAJ,Y,P
71901750,FLSZ,Y,P
71901196,LROI,Y,P
71904487,FLSZ,Y,P
71900090,UAFL,Y,P
71901592,FCFB,Y,P
71903583,GSQV,Y,P
71900711,KIPZ,Y,N
71903584,BHHL,Y,N
71901617,FCFB,Y,P
71904593,HJIK,Y,P
71901591,FCFB,Y,P
71901618,FCFB,Y,P
71899456,TJIS,Y,P
71900840,TJIS,Y,P
71903232,LROI,Y,P
71900970,TJIS,Y,P
71900871,EPUG,Y,P
71899748,TJIS,N,P
71902825,NEPH,Y,P
71898309,FLSZ,Y,P
71904204,VXJD,Y,P
71898673,SSAL,Y,P
71902487,GSQV,Y,P
71900911,WTJW,Y,P
71900512,HJIK,Y,P
71900192,HJIK,Y,P
71902668,LROI,Y,P
71902363,RLOS,Y,P
71903001,LROI,Y,P
71901026,BUXU,Y,N
71898542,BUXU,N,N
71903626,BUXU,Y,N
71899596,HJIK,N,B
71903351,VOMK,Y,N
71902847,HJIK,Y,P
71901225,YQCC,Y,P
71900272,LROI,Y,P
71900322,GXAJ,Y,P
71900646,GMDR,N,P
71903261,VOMK,Y,N
71903448,ODSX,Y,P
71902515,NBNP,Y,P
71903640,VOMK,Y,P
71902044,UAFL,Y,P
71901206,HJIK,Y,P
71901238,BHHL,Y,N
71901565,FLSZ,Y,P
71901523,HJIK,Y,P
71904491,TJIS,Y,P
71903555,LPUO,Y,P
71903455,QNRK,Y,P
71903553,QXWP,Y,P
71900679,RNZD,N,P
71901166,LLZY,Y,P
71901478,YFVO,Y,P
71901562,FLSZ,Y,P
71899871,WREC,N,P
71904589,FLSZ,Y,P
71901436,CHRE,Y,P
71900405,TJIS,Y,P
71900162,UAFL,Y,P
71902470,HJIK,Y,P
71902794,BPNK,Y,P
71903589,RLOS,Y,P
71902775,GMDR,N,P
71900333,GXAJ,Y,P
71903165,NBNP,Y,P
71904595,FLSZ,Y,P
71902368,FLSZ,Y,P
71903270,LROI,Y,P
71904656,FLSZ,Y,P
71901595,LROI,Y,P
71903030,HJIK,Y,P
71903240,EZXA,Y,P
71902906,BUXU,Y,N
71900228,QHLK,N,B
71900525,EPUG,Y,P
71901757,VQVH,Y,P
71900186,QXWP,Y,P
71904683,TJIS,Y,P
71904664,FLSZ,Y,P
71904684,QXWP,Y,P
71902593,GMDR,Y,P
71900344,UAFL,Y,P
71901634,EZXA,Y,P
71901191,TJIS,Y,P
71903041,URXX,Y,P
71903009,BPNK,Y,N
71902662,QXWP,Y,P
71902802,LPUO,Y,P
71898267,TJIS,Y,P
71900299,UAFL,Y,P
71900498,GMDR,Y,P
71899735,OBEX,Y,P
71900380,NEPH,Y,P
71899765,OBEX,Y,P
71902990,LROI,Y,P
71901214,LROI,Y,P
71898617,GMDR,N,B
71902965,LROI,Y,P
71902587,YQCC,Y,P
71900038,TJIS,Y,P
71900664,LROI,Y,P
71902588,FLSZ,N,P
71903111,UAFL,Y,P
71902433,GMDR,Y,N
71898667,FIKA,Y,P
71901442,BHHL,Y,P
71901735,YQCC,Y,N
71901651,UAFL,Y,P
71902949,FCFB,Y,P
71901047,ODSX,Y,P
71900537,AENM,Y,P
71901616,FCFB,Y,P
71902290,GMDR,N,P
71902486,ITLI,Y,P
71903228,LROI,Y,P
71902736,MMQA,Y,N
71902509,DBIV,Y,P
71902555,LROI,Y,P
71903975,TJIS,Y,P
71900275,LROI,Y,P
71902385,UVJX,Y,P
71901159,UVJX,Y,P
71900279,HJIK,Y,P
71898273,LPUO,Y,P
71901071,YQCC,N,P
71902578,UVJX,Y,P
71901108,LROI,Y,P
71904048,FLSZ,Y,P
71901296,HJIK,Y,P
71901696,WTJW,Y,P
71901769,WTJW,Y,P
71900181,TGIT,Y,P
71903020,LROI,Y,N
71901031,BHHL,Y,N
71892204,BPNK,N,N
71899025,LLZY,N,B
71903667,ZKPQ,Y,N
71901575,QXWP,Y,P
71902850,CHRE,Y,P
71901008,ZRUH,Y,P
71898672,VXJD,Y,P
71902182,JMAI,Y,P
71900464,UAFL,Y,P
71900325,GXAJ,Y,P
71901456,ULQZ,Y,P
71902790,BPNK,Y,P
71901135,LROI,Y,P
71902326,GMDR,N,N
71901113,OBEX,N,P
71884042,BPNK,N,N
71904219,UVJX,Y,P
71899792,TGIT,N,P
71902188,LROI,Y,P
71900947,LROI,Y,P
71900230,UVJX,Y,P
71899743,QXWP,Y,P
71891057,BPNK,N,N
71884162,BPNK,N,N
71903007,BPNK,Y,N
71903207,HJIK,Y,P
71902739,LLZY,N,B
71901084,GMDR,Y,P
71900291,EOLP,Y,P
71900497,GMDR,Y,P
71898266,TJIS,Y,P
71901501,LPUO,Y,P
71903356,VXJD,Y,P
71900128,OBEX,N,P
71900442,VXRJ,Y,P
71901245,BPNK,N,B
71900681,SGZW,Y,P
71902771,LROI,Y,P
71904160,TJIS,Y,P
71901088,LROI,Y,P
71898671,LLZY,Y,P
71900379,NEPH,Y,P
71900438,LROI,Y,P
71901765,UVJX,Y,P
71900080,UAFL,Y,P
71901350,LROI,Y,P
71900585,HJIK,Y,P
71901907,NUXY,Y,N
71903096,WREC,Y,N
71900403,ZPEC,Y,P
71900263,EZXA,Y,P
71900838,TGIT,Y,P
71901981,QXWP,Y,P
71902241,FLSZ,Y,P
71900577,GMDR,Y,P
71902285,FLSZ,Y,P
71900375,DNNR,Y,P
71902695,QNRK,Y,P
