shipment number,acpt_carrier_cd,acpt_first_response_fg
71901574,ZRUH,Y
71900336,GXAJ,Y
71903284,MMQA,Y
71904244,TJIS,Y
71901521,ODSX,Y
71890733,BPNK,Y
71900301,UAFL,Y
71900125,TJIS,Y
71901336,EZXA,Y
71899570,HJIK,Y
71900328,GXAJ,Y
71899810,TGIT,Y
71904089,FLSZ,Y
71900845,GMDR,Y
71901025,LROI,Y
71900314,GXAJ,Y
71902676,ODSX,Y
71900353,URXX,Y
71904047,FLSZ,Y
71904211,FLSZ,Y
71901107,LROI,Y
71901188,TJIS,Y
71904010,JIPH,Y
71901973,LROI,Y
71901572,RLOS,Y
71903466,NEPH,Y
71904673,RLOS,Y
71901559,WREC,Y
71900295,URXX,Y
71900912,LROI,Y
71900847,GMDR,Y
71900222,FLSZ,Y
71900096,UAFL,Y
71902468,LRQU,Y
71901267,VXJD,Y
71901931,KMYV,Y
71901629,UAFL,Y
71903427,UAFL,Y
71902284,FLSZ,Y
71901936,ZPEC,Y
71902576,RLOS,Y
71900778,FCFB,Y
71897402,RLOS,Y
71901045,TGIT,Y
71900412,YQCC,Y
71904248,TJIS,Y
71900423,YFVO,Y
71903071,GXAJ,Y
71901140,LROI,Y
71903671,YXXG,Y
71901189,LROI,Y
71904583,HJIK,Y
71900270,UQIN,Y
71904253,RLOS,Y
71896954,TJIS,Y
71899957,TGIT,Y
71900547,VOMK,Y
71900233,GMDR,Y
71900466,UAFL,Y
71901631,LPUO,Y
71900948,TJIS,Y
71900654,AENM,Y
71901974,BJTI,Y
71904611,TJIS,Y
71900348,UAFL,Y
71901546,LLZY,Y
71903350,VOMK,Y
71900039,UVJX,Y
71901388,FLSZ,Y
71900273,LROI,Y
71899919,WREC,Y
71904661,KTSU,Y
71903696,FUYI,Y
71899343,TJIS,Y
71900091,UAFL,Y
71903695,QXWP,Y
71903582,UAFL,Y
71901452,TJIS,Y
71900302,UAFL,Y
71902958,HJIK,Y
71901077,LROI,Y
71900369,LLZY,Y
71901186,SGZW,Y
71901683,VOMK,Y
71903069,LROI,Y
71899842,SGZW,Y
71902734,UVJX,Y
71900315,GXAJ,Y
71900205,NBNP,Y
71901316,LROI,Y
71901830,KMYV,Y
71901254,LROI,Y
71904653,HJIK,Y
71900637,FLSZ,Y
71900861,VQVH,Y
71904686,QXWP,Y
71899734,TFTZ,Y
71903998,OPVP,Y
71900450,UAFL,Y
71902492,LROI,Y
71901055,RPWL,Y
71900945,HJIK,Y
71903956,SGZW,Y
71903095,WREC,Y
71904678,TJIS,Y
71900978,LROI,Y
71902301,LLZY,Y
71904250,TJIS,Y
71890732,NEPH,Y
71902203,FLSZ,Y
71901149,TJIS,Y
71902460,HJIK,Y
71903693,TJIS,Y
71900451,UAFL,Y
71898513,BUXU,Y
71901560,FLSZ,Y
71901484,GMDR,Y
71902533,LROI,Y
71900420,FLSZ,Y
71902943,UQIN,Y
71901234,BHHL,Y
71900376,DNNR,Y
71904120,CJPF,Y
71901279,LROI,Y
71899417,TJIS,Y
71902391,HJIK,Y
71902506,HJIK,Y
71900673,HJIK,Y
71900932,TJIS,Y
71901702,LROI,Y
71902215,UAFL,Y
71901165,YQCC,Y
71901564,FLSZ,Y
71900123,TJIS,Y
71903046,HJIK,Y
71902705,SGZW,Y
71900378,LLZY,Y
71903443,UAFL,Y
71902717,HJIK,Y
71901109,UAFL,Y
71902093,RTQT,Y
71900129,QXWP,Y
71904680,TJIS,Y
71901386,LLZY,Y
71902680,FLSZ,Y
71902522,LROI,Y
71901578,TJIS,Y
71902598,NBNP,Y
71903156,ODSX,Y
71899668,BPNK,Y
71900429,VXJD,Y
71903527,AENM,Y
71902694,QNRK,Y
71901329,LPUO,Y
71902205,NEPH,Y
71899372,TJIS,Y
71904041,ITLI,Y
71901102,UAFL,Y
71903494,LPUO,Y
71902510,NBNP,Y
71901174,EZXA,Y
71902818,UVJX,Y
71900084,UAFL,Y
71900406,NBNP,Y
71903140,UAFL,Y
71902124,URXX,Y
71897423,SSAL,Y
71902896,ODSX,Y
71900439,CHRE,Y
71900232,BUXU,Y
71901075,ODSX,Y
71901387,NEPH,Y
71901511,HJIK,Y
71901078,TJIS,Y
71892048,BPNK,Y
71902338,LROI,Y
71900745,GMDR,Y
71900278,TJIS,Y
71900940,BJTI,Y
71902791,AENM,Y
71904251,TJIS,Y
71904681,TJIS,Y
71900422,URXX,Y
71900767,TFTZ,Y
71900727,RNZD,Y
71900623,LROI,Y
71900362,DNNR,Y
71900470,UAFL,Y
71904220,FLSZ,Y
71902681,BHHL,Y
71903528,AENM,Y
71901819,KMYV,Y
71901090,ODSX,Y
71900836,QXWP,Y
71899870,URXX,Y
71899620,TGIT,Y
71902439,LROI,Y
71899736,TFTZ,Y
71902657,SGZW,Y
71902417,HJIK,Y
71902556,LROI,Y
71903973,TJIS,Y
71902424,LROI,Y
71904233,TJIS,Y
71903229,SGZW,Y
71902465,HJIK,Y
71900942,UAFL,Y
71901630,BUXU,Y
71902623,NBNP,Y
71901164,NEPH,Y
71901417,TJIS,Y
71902356,LROI,Y
71901068,QXWP,Y
71900081,UAFL,Y
71898552,GMDR,Y
71900189,RTQT,Y
71902998,ODSX,Y
71901123,UAFL,Y
71902920,LROI,Y
71902750,SGZW,Y
71900124,TJIS,Y
71902870,EZXA,Y
71902596,FLSZ,Y
71899937,TFTZ,Y
71899562,HJIK,Y
71901160,FLSZ,Y
71901845,ODSX,Y
71900042,GMDR,Y
71900540,JMAI,Y
71902581,UVJX,Y
71903425,NBNP,Y
71903027,LPUO,Y
71900043,BHHL,Y
71902795,AENM,Y
71902849,CHRE,Y
71900694,AENM,Y
71901103,UAFL,Y
71900046,BUXU,Y
71903198,LROI,Y
71900261,LROI,Y
71903223,LROI,Y
71901286,UQIN,Y
71900398,RLOS,Y
71903791,QXWP,Y
71898674,LROI,Y
71900897,ODSX,Y
71898665,NEPH,Y
71899451,TJIS,Y
71901034,TGIT,Y
71899378,TJIS,Y
71890873,NEPH,Y
71899901,TGIT,Y
71899382,TJIS,Y
71901227,FLSZ,Y
71900702,RNZD,Y
71901151,TJIS,Y
71899954,TGIT,Y
71898704,UAFL,Y
71901569,OBEX,Y
71900449,UAFL,Y
71902973,HJIK,Y
71902783,KIPZ,Y
71901535,VXJD,Y
71903642,LROI,Y
71904613,TJIS,Y
71901833,KMYV,Y
71902168,ODSX,Y
71904053,UVJX,Y
71902502,HJIK,Y
71902459,HJIK,Y
71902091,RTQT,Y
71904597,ITLI,Y
71901064,OBEX,Y
71902966,VHJQ,Y
71900130,LLZY,Y
71892174,BPNK,Y
71902788,BPNK,Y
71900928,TJIS,Y
71903249,TJIS,Y
71904590,UVJX,Y
71900160,RTQT,Y
71901563,FLSZ,Y
71898675,LROI,Y
71900078,UAFL,Y
71901465,HJIK,Y
71903974,TJIS,Y
71903378,YQCC,Y
71903970,JIPH,Y
71901330,AENM,Y
71902950,YFVO,Y
71901235,BHHL,Y
71902845,LPUO,Y
71902096,UAFL,Y
71899567,ZPEC,Y
71892038,NEPH,Y
71900434,LROI,Y
71902873,GMDR,Y
71903078,URXX,Y
71902169,URXX,Y
71902824,NEPH,Y
71903151,FLSZ,Y
71902491,ODSX,Y
71902747,QXWP,Y
71903359,VHJQ,Y
71903193,GMDR,Y
71901223,KIPZ,Y
71902144,ODSX,Y
71901873,KMYV,Y
71901488,SGZW,Y
71903539,NBNP,Y
71899819,TFTZ,Y
71900453,UAFL,Y
71899920,YQCC,Y
71900171,QXWP,Y
71902361,LROI,Y
71900496,LLZY,Y
71901703,LROI,Y
71899708,NEPH,Y
71900759,GMDR,Y
71904614,TJIS,Y
71900751,FLSZ,Y
71902404,FLSZ,Y
71904242,TJIS,Y
71902231,LROI,Y
71899374,TJIS,Y
71899453,TJIS,Y
71899827,WREC,Y
71902677,YQCC,Y
71901668,NEPH,Y
71903011,BPNK,Y
71902994,FWUK,Y
71900460,UAFL,Y
71901434,NEPH,Y
71902238,LROI,Y
71900334,GXAJ,Y
71900638,EZXA,Y
71898319,FLSZ,Y
71902711,SGZW,Y
71901397,GXAJ,Y
71901232,LROI,Y
71902636,LRQU,Y
71901623,YQCC,Y
71902760,HJIK,Y
71901241,LROI,Y
71904086,GMDR,Y
71904245,TJIS,Y
71900083,UAFL,Y
71902148,HJIK,Y
71902737,ODSX,Y
71902591,UVJX,Y
71903243,LROI,Y
71902577,UVJX,Y
71902090,BPNK,Y
71900393,HJIK,Y
71900629,BHHL,Y
71900675,YQCC,Y
71901348,OBEX,Y
71900304,UAFL,Y
71902482,GMDR,Y
71903620,BUXU,Y
71900935,FCFB,Y
71898524,GMDR,Y
71902394,HJIK,Y
71903632,URXX,Y
71899565,FLSZ,Y
71902553,LROI,Y
71902797,EZXA,Y
71900669,LPUO,Y
71902860,RTQT,Y
71902769,BPNK,Y
71897419,SSAL,Y
71902912,EZXA,Y
71900116,TJIS,Y
71901237,BHHL,Y
71903806,QXWP,Y
71901445,FWUK,Y
71900690,AENM,Y
71903428,UAFL,Y
71901142,GMDR,Y
71903752,LROI,Y
71900937,GMDR,Y
71901333,BUXU,Y
71904067,EZXA,Y
71899344,TJIS,Y
71901199,BUXU,Y
71898539,GMDR,Y
71901910,NUXY,Y
71903300,EZXA,Y
71903799,NBNP,Y
71901263,LROI,Y
71902781,VQVH,Y
71899963,TFTZ,Y
71901953,TJIS,Y
71900254,GMDR,Y
71900899,ZRUH,Y
71902382,LLZY,Y
71902746,LLZY,Y
71901242,QXWP,Y
71901925,KMYV,Y
71902503,HJIK,Y
71902028,BPNK,Y
71902659,SGZW,Y
71901101,UAFL,Y
71900740,NZKX,Y
71902291,ODSX,Y
71900445,QNRK,Y
71900208,UVJX,Y
71900959,RPWL,Y
71899418,TJIS,Y
71904064,EZXA,Y
71899452,TJIS,Y
71900210,UVJX,Y
71904240,TJIS,Y
71904015,TJIS,Y
71901463,HJIK,Y
71904017,TJIS,Y
71899900,WREC,Y
71902341,FLSZ,Y
71904676,QXWP,Y
71900357,OPVP,Y
71901143,LROI,Y
71900987,FLSZ,Y
71902369,FLSZ,Y
71900404,ZPEC,Y
71903716,TJIS,Y
71900831,TJIS,Y
71904210,UVJX,Y
71901303,UVJX,Y
71901909,NUXY,Y
71902532,LROI,Y
71902637,LRQU,Y
71898240,UAFL,Y
71902386,UVJX,Y
71881740,YQCC,Y
71900766,RLOS,Y
71900566,GSQV,Y
71900309,UAFL,Y
71902792,OCZI,Y
71884193,BPNK,Y
71900609,URXX,Y
71904208,UVJX,Y
71902724,EZXA,Y
71904100,GXAJ,Y
71902666,LROI,Y
71902592,LLZY,Y
71902796,EZXA,Y
71903465,NEPH,Y
71902660,SGZW,Y
71897825,BPNK,Y
71901132,NBNP,Y
71902761,HEPF,Y
71904598,FLSZ,Y
71900349,NBNP,Y
71901052,VHJQ,Y
71902719,HJIK,Y
71900161,RTQT,Y
71901568,TJIS,Y
71901685,GMDR,Y
71899564,GMDR,Y
71902400,OCZI,Y
71900610,HJIK,Y
71901497,LROI,Y
71903125,XKNP,Y
71900687,NEPH,Y
71901172,GMDR,Y
71902127,UAFL,Y
71902209,GMDR,Y
71902969,EZXA,Y
71904037,TJIS,Y
71902590,UVJX,Y
71899619,TGIT,Y
71902956,EZXA,Y
71900032,UVJX,Y
71903442,HJIK,Y
71902434,LROI,Y
71900465,UAFL,Y
71900377,FLSZ,Y
71903219,YXXG,Y
71892093,BPNK,Y
71902494,TJIS,Y
71898470,BHHL,Y
71903211,SGZW,Y
71899846,WREC,Y
71902483,GMDR,Y
71902524,LROI,Y
71902551,LROI,Y
71901573,ZRUH,Y
71900094,UAFL,Y
71901997,HJIK,Y
71902381,HJIK,Y
71900867,ZRUH,Y
71904232,TJIS,Y
71901890,KMYV,Y
71903003,VXJD,Y
71900796,ODSX,Y
71900934,TJIS,Y
71900312,GXAJ,Y
71903303,VXJD,Y
71900589,HJIK,Y
71900875,TJIS,Y
71901761,RNZD,Y
71902098,TJIS,Y
71903723,FLSZ,Y
71900974,TJIS,Y
71900144,VOMK,Y
71902514,FCFB,Y
71896891,UVJX,Y
71901393,EZXA,Y
71898666,HJIK,Y
71904200,FLSZ,Y
71903467,NUXY,Y
71903575,CJPF,Y
71900174,QXWP,Y
71901461,HJIK,Y
71902046,LROI,Y
71900306,UAFL,Y
71899424,TJIS,Y
71902822,GMDR,Y
71903137,UAFL,Y
71902517,LROI,Y
71903972,TJIS,Y
71904073,FLSZ,Y
71902569,LROI,Y
71902646,JMAI,Y
71902620,SGZW,Y
71902580,LLZY,Y
71901046,UAFL,Y
71903556,YQCC,Y
71902749,SGZW,Y
71904162,OBEX,Y
71901454,EZXA,Y
71901534,FCFB,Y
71904203,HJIK,Y
71901502,UAFL,Y
71900936,FCFB,Y
71900310,UAFL,Y
71900463,UAFL,Y
71899492,UAFL,Y
71900297,VXJD,Y
71901229,LYQQ,Y
71901118,ODSX,Y
71902813,EZXA,Y
71904206,FLSZ,Y
71903939,UAFL,Y
71900327,GXAJ,Y
71901749,VXJD,Y
71904578,OPVP,Y
71900428,ROLF,Y
71901460,FLSZ,Y
71902671,FLSZ,Y
71902376,FLSZ,Y
71902403,FLSZ,Y
71902191,ODSX,Y
71899910,DONK,Y
71902360,TJIS,Y
71902480,GSQV,Y
71904230,TJIS,Y
71901648,TJIS,Y
71903114,NUXY,Y
71900927,TJIS,Y
71903454,ZPEC,Y
71902348,HJIK,Y
71901422,TJIS,Y
71902815,UVJX,Y
71903520,HJIK,Y
71902336,FLSZ,Y
71901671,HJIK,Y
71901798,ODSX,Y
71903274,LROI,Y
71901915,NUXY,Y
71903112,UQIN,Y
71900471,OCZI,Y
71901496,LROI,Y
71892207,BPNK,Y
71904213,VXJD,Y
71900305,UAFL,Y
71901247,FLSZ,Y
71900027,NBNP,Y
71900350,URXX,Y
71899342,TJIS,Y
71899425,TJIS,Y
71904658,GMDR,Y
71900028,QXWP,Y
71902601,TJIS,Y
71901443,GMDR,Y
71902684,LROI,Y
71902967,GMDR,Y
71904652,UVJX,Y
71900296,URXX,Y
71901195,RNZD,Y
71903227,LROI,Y
71902125,OPVP,Y
71903800,UAFL,Y
71901157,FUYI,Y
71902362,RLOS,Y
71900598,YFVO,Y
71900963,TJIS,Y
71899911,TGIT,Y
71903724,YXXG,Y
71901224,KIPZ,Y
71901804,URXX,Y
71900335,GXAJ,Y
71901367,RNZD,Y
71900874,TGIT,Y
71902609,MSGB,Y
71900758,LROI,Y
71899635,HJIK,Y
71902785,VOMK,Y
71900188,UAFL,Y
71900364,PVKT,Y
71903984,TJIS,Y
71902856,EZXA,Y
71892079,BPNK,Y
71904228,TJIS,Y
71900657,ULQZ,Y
71900329,GXAJ,Y
71900873,QXWP,Y
71892088,BPNK,Y
71900092,UAFL,Y
71900265,LROI,Y
71900670,NEPH,Y
71900574,EZXA,Y
71902848,SGZW,Y
71901079,GMDR,Y
71900944,HJIK,Y
71900214,GMDR,Y
71900757,LYQQ,Y
71901249,LROI,Y
71900206,GMDR,Y
71900964,CJPF,Y
71903147,QXWP,Y
71903892,OBEX,Y
71900575,QXWP,Y
71902479,LROI,Y
71900991,AENM,Y
71900321,GXAJ,Y
71904222,TJIS,Y
71901822,ODSX,Y
71902770,VHJQ,Y
71902927,HJIK,Y
71900894,UAFL,Y
71900190,OCZI,Y
71903399,ODSX,Y
71901498,LROI,Y
71901383,CJPF,Y
71900714,HJIK,Y
71900088,UAFL,Y
71902820,UVJX,Y
71899777,ZRUH,Y
71900203,UVJX,Y
71901240,LPUO,Y
71890911,NEPH,Y
71900709,LROI,Y
71900676,GMDR,Y
71901514,BPNK,Y
71902436,LROI,Y
71904668,TJIS,Y
71903141,UAFL,Y
71902730,EZXA,Y
71900268,EZXA,Y
71902095,RTQT,Y
71903268,BJTI,Y
71902814,FCFB,Y
71901967,TJIS,Y
71900410,NBNP,Y
71901764,UVJX,Y
71903492,BJTI,Y
71902335,GMDR,Y
71900071,RLOS,Y
71901647,UVJX,Y
71902292,OBEX,Y
71902321,LROI,Y
71903669,GMDR,Y
71899563,BJTI,Y
71899691,TJIS,Y
71902957,EZXA,Y
71902853,LROI,Y
71901912,NUXY,Y
71900744,GMDR,Y
71900399,URXX,Y
71899482,ZRUH,Y
71900182,BHHL,Y
71901972,RNZD,Y
71904058,FLSZ,Y
71903040,DNNR,Y
71901736,YQCC,Y
71901416,TJIS,Y
71903560,GXAJ,Y
71901750,FLSZ,Y
71901196,LROI,Y
71904487,FLSZ,Y
71900090,UAFL,Y
71901592,FCFB,Y
71903583,GSQV,Y
71900711,KIPZ,Y
71903584,BHHL,Y
71901617,FCFB,Y
71904593,HJIK,Y
71901591,FCFB,Y
71901618,FCFB,Y
71899456,TJIS,Y
71900840,TJIS,Y
71903232,LROI,Y
71900970,TJIS,Y
71900871,EPUG,Y
71899748,TJIS,Y
71902825,NEPH,Y
71898309,FLSZ,Y
71904204,VXJD,Y
71898673,SSAL,Y
71902487,GSQV,Y
71900911,WTJW,Y
71900512,HJIK,Y
71900192,HJIK,Y
71902668,LROI,Y
71902363,RLOS,Y
71903001,LROI,Y
71901026,BUXU,Y
71898542,BUXU,Y
71903626,BUXU,Y
71899596,ZPEC,Y
71903351,VOMK,Y
71902847,HJIK,Y
71901225,YQCC,Y
71900272,LROI,Y
71900322,GXAJ,Y
71900646,GMDR,Y
71903261,VOMK,Y
71903448,ODSX,Y
71902515,NBNP,Y
71903640,VOMK,Y
71902044,UAFL,Y
71901206,HJIK,Y
71901238,BHHL,Y
71901565,FLSZ,Y
71901523,HJIK,Y
71904491,TJIS,Y
71903555,LPUO,Y
71903455,QNRK,Y
71903553,QXWP,Y
71900679,RNZD,Y
71901166,LLZY,Y
71901478,YFVO,Y
71901562,FLSZ,Y
71899871,WREC,Y
71904589,FLSZ,Y
71901436,CHRE,Y
71900405,TJIS,Y
71900162,UAFL,Y
71902470,HJIK,Y
71902794,BPNK,Y
71903589,RLOS,Y
71902775,GMDR,Y
71900333,GXAJ,Y
71903165,NBNP,Y
71904595,FLSZ,Y
71902368,FLSZ,Y
71903270,LROI,Y
71904656,FLSZ,Y
71901595,LROI,Y
71903030,HJIK,Y
71903240,EZXA,Y
71902906,BUXU,Y
71900228,BHHL,Y
71900525,EPUG,Y
71901757,VQVH,Y
71900186,QXWP,Y
71904683,TJIS,Y
71904664,FLSZ,Y
71904684,QXWP,Y
71902593,GMDR,Y
71900344,UAFL,Y
71901634,EZXA,Y
71901191,TJIS,Y
71903041,URXX,Y
71903009,BPNK,Y
71902662,QXWP,Y
71902802,LPUO,Y
71898267,TJIS,Y
71900299,UAFL,Y
71900498,GMDR,Y
71899735,OBEX,Y
71900380,NEPH,Y
71899765,OBEX,Y
71902990,LROI,Y
71901214,LROI,Y
71898617,NULL,NULL
71902965,LROI,Y
71902587,YQCC,Y
71900038,TJIS,Y
71900664,LROI,Y
71902588,FLSZ,Y
71903111,UAFL,Y
71902433,GMDR,Y
71898667,FIKA,Y
71901442,BHHL,Y
71901735,YQCC,Y
71901651,UAFL,Y
71902949,FCFB,Y
71901047,ODSX,Y
71900537,AENM,Y
71901616,FCFB,Y
71902290,GMDR,Y
71902486,ITLI,Y
71903228,LROI,Y
71902736,MMQA,Y
71902509,DBIV,Y
71902555,LROI,Y
71903975,TJIS,Y
71900275,LROI,Y
71902385,UVJX,Y
71901159,UVJX,Y
71900279,HJIK,Y
71898273,LPUO,Y
71901071,YQCC,Y
71902578,UVJX,Y
71901108,LROI,Y
71904048,FLSZ,Y
71901296,HJIK,Y
71901696,WTJW,Y
71901769,WTJW,Y
71900181,TGIT,Y
71903020,LROI,Y
71901031,BHHL,Y
71892204,BPNK,Y
71899025,NULL,NULL
71903667,ZKPQ,Y
71901575,QXWP,Y
71902850,CHRE,Y
71901008,ZRUH,Y
71898672,VXJD,Y
71902182,JMAI,Y
71900464,UAFL,Y
71900325,GXAJ,Y
71901456,ULQZ,Y
71902790,BPNK,Y
71901135,LROI,Y
71902326,GMDR,Y
71901113,OBEX,Y
71884042,BPNK,Y
71904219,UVJX,Y
71899792,TGIT,Y
71902188,LROI,Y
71900947,LROI,Y
71900230,UVJX,Y
71899743,QXWP,Y
71891057,BPNK,Y
71884162,BPNK,Y
71903007,BPNK,Y
71903207,HJIK,Y
71902739,BHHL,Y
71901084,GMDR,Y
71900291,EOLP,Y
71900497,GMDR,Y
71898266,TJIS,Y
71901501,LPUO,Y
71903356,VXJD,Y
71900128,OBEX,Y
71900442,VXRJ,Y
71901245,LROI,Y
71900681,SGZW,Y
71902771,LROI,Y
71904160,TJIS,Y
71901088,LROI,Y
71898671,LLZY,Y
71900379,NEPH,Y
71900438,LROI,Y
71901765,UVJX,Y
71900080,UAFL,Y
71901350,LROI,Y
71900585,HJIK,Y
71901907,NUXY,Y
71903096,WREC,Y
71900403,ZPEC,Y
71900263,EZXA,Y
71900838,TGIT,Y
71901981,QXWP,Y
71902241,FLSZ,Y
71900577,GMDR,Y
71902285,FLSZ,Y
71900375,DNNR,Y
71902695,QNRK,Y
71899813,RPWL,Y
71900251,FLSZ,Y
71902038,LPUO,Y
71900419,SSAL,Y
71900133,TJIS,Y
71902706,LPUO,Y
71901561,FLSZ,Y
71900139,TJIS,Y
71903201,WREC,Y
71902293,QXWP,Y
71900163,UAFL,Y
71904223,TJIS,Y
71904218,FLSZ,Y
71900351,URXX,Y
71900447,VXRJ,Y
71903128,CHRE,Y
71903039,HJIK,Y
71901074,LROI,Y
71902554,LROI,Y
71900109,SSAL,Y
71900089,UAFL,Y
71901015,AENM,Y
71901453,ULQZ,Y
71904667,TJIS,Y
71901421,TJIS,Y
71901323,NEPH,Y
71892213,BPNK,Y
71903122,LROI,Y
71884465,URXX,Y
71902372,RNZD,Y
71901349,ZRUH,Y
71901126,LRQU,Y
71901576,FUYI,Y
71901256,UQIN,Y
71901784,UAFL,Y
71902364,GMDR,Y
71900402,ZPEC,Y
71900140,TJIS,Y
71901916,NUXY,Y
71901462,YFVO,Y
71902638,LRQU,Y
71903352,VOMK,Y
71900826,UVJX,Y
71902639,LRQU,Y
71902926,UAFL,Y
71902727,LRQU,Y
71902330,SGZW,Y
71901485,SSAL,Y
71902151,RNZD,Y
71900981,FUYI,Y
71900298,FLSZ,Y
71902451,HJIK,Y
71902716,LROI,Y
71904051,FLSZ,Y
71900747,FCFB,Y
71896890,FLSZ,Y
71901919,LPUO,Y
71900913,TFTZ,Y
71902628,LROI,Y
71903098,WREC,Y
71903224,EZXA,Y
71899587,TJIS,Y
71903526,AENM,Y
71903148,TJIS,Y
71902484,BPNK,Y
71902603,LROI,Y
71899914,TGIT,Y
71899416,TJIS,Y
71900800,QXWP,Y
71900588,HJIK,Y
71900029,TJIS,Y
71901492,FLSZ,Y
71901418,BHHL,Y
71898223,KIPZ,Y
71899697,RPWL,Y
71902929,LPUO,Y
71902843,YQCC,Y
71903423,UVJX,Y
71901272,NEPH,Y
71903548,OPVP,Y
71903603,QSJV,Y
71902206,NBNP,Y
71901964,KMYV,Y
71901570,ZRUH,Y
71902766,ODSX,Y
71903945,GXAJ,Y
71902419,HJIK,Y
71899923,YQCC,Y
71901180,EZXA,Y
71900652,HJIK,Y
71903960,UAFL,Y
71901187,KTSU,Y
71903946,GXAJ,Y
71904215,FLSZ,Y
71901914,NUXY,Y
71899778,RPWL,Y
71903683,QXWP,Y
71899423,TJIS,Y
71901527,LLZY,Y
71899485,ZRUH,Y
71900734,VXJD,Y
71900085,UAFL,Y
71900293,LLZY,Y
71904035,OBEX,Y
71899913,SGZW,Y
71902242,LROI,Y
71902087,AENM,Y
71901579,RLOS,Y
71902698,AENM,Y
71903061,ZRUH,Y
71901489,HJIK,Y
71901793,TJIS,Y
71900040,TJIS,Y
71901633,FLSZ,Y
71904099,GXAJ,Y
71901555,JMAI,Y
71900877,TJIS,Y
71903045,RLOS,Y
71899475,TJIS,Y
71903558,QSJV,Y
71902904,BUXU,Y
71900776,LROI,Y
71903561,LROI,Y
71898549,GMDR,Y
71902409,NBNP,Y
71902373,SGZW,Y
71899855,TGIT,Y
71903504,NUXY,Y
71900340,UAFL,Y
71902407,AENM,Y
71903067,ODSX,Y
71903064,RLOS,Y
71902723,LROI,Y
71901518,TJIS,Y
71901335,FLSZ,Y
71900976,FCFB,Y
71901476,OPVP,Y
71901086,LROI,Y
71903687,LLZY,Y
71902440,FLSZ,Y
71904447,CJPF,Y
71901533,FCFB,Y
71900807,FCFB,Y
71901167,BHHL,Y
71900830,LROI,Y
71902538,BHHL,Y
71902508,FLSZ,Y
71900708,ITLI,Y
71902342,SGZW,Y
71901860,FCFB,Y
71900352,FLSZ,Y
71900382,GMDR,Y
71902317,LROI,Y
71902886,LROI,Y
71902854,EZXA,Y
71903132,VOMK,Y
71900910,LROI,Y
71900712,KIPZ,Y
71900619,VOMK,Y
